Comment,Designator,Footprint,LCSC
"4.7uF","C19,C20,C28","Capacitor_SMD:C_0402_1005Metric",""
"24pF","C2,C3","Capacitor_SMD:C_0402_1005Metric",""
"10uF","C21,C22","Capacitor_SMD:C_0805_2012Metric",""
"2.2uF","C23,C26","Capacitor_SMD:C_0402_1005Metric",""
"10uF","C24","Capacitor_SMD:C_0402_1005Metric",""
"220pF","C27","Capacitor_SMD:C_0402_1005Metric",""
"100nF","C1,C4,C5,C6,C7,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C25","Capacitor_SMD:C_0402_1005Metric",""
"1uF","C8","Capacitor_SMD:C_0402_1005Metric",""
"Ferrite_Bead_Small","FB1,FB2","Inductor_SMD:L_0805_2012Metric",""
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_4.3mm_M4_Pad_Via",""
"Conn_01x04_Male","J1,J2,J5,J6,J7","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Conn_01x02_Male","J3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Screw_Terminal_01x02","J4","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",""
"Conn_01x03_Male","J8","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"2.2uH","L1","Inductor_SMD:L_0805_2012Metric",""
"0","R1","Resistor_SMD:R_0402_1005Metric",""
"10k","R2","Resistor_SMD:R_0402_1005Metric",""
"47","R3","Resistor_SMD:R_0402_1005Metric",""
"K12SCS1.55NOLFTX","SW2","push_sw:K12SCS1.55NOLFTX",""
"STM32H755ZIT6","U1","stm32h7:STM32H755ZIT6",""
"AMS1117-3.3","U2","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"Crystal_GND24_Small","Y1","crystal:OSC_ABM3B-8.000MHZ-B2-T",""
